,Name,URL,Description,Ingredients,Instructions,Keywords,Question
288,The Last Corpse,https://www.theeducatedbarfly.com/the-last-corpse/,"© 2023
The Educated Barfly","- ¾ oz. lemon juice
- ¾ oz. gin I use Hendricks
- ¾ oz Chartreuse green
- ¾ oz. Agwa de Bolivi
- 1 barspoon absinthe I used St. George Absinthe Verte
- lemon peel
","1. Add all 3/4 measurements in a metal shaker.
2. Use the barspoon of absinthe to rinse/coat the inside of a chilled martini glass.
3. Add ice to mixer.
4. Shake.
5. Strain into the martini glass.
6. Add lemon peel garnish.
7. Serve.
","chartreuse, Gin, lemon juice, Lemon Peel, Reader Submitted, The Last Corpse","Could you recommend a cocktail that highlights the flavors of chartreuse, gin, and lemon juice, similar to ""The Last Corpse""?"
289,House Harkonnen,https://www.theeducatedbarfly.com/house-harkonnen/,"A Dune-inspired cocktail to celebrate the upcoming film. A daiquiri variation fit for a ruthless Baron’s hedonism. An obscene amount of angostura bitters provides a unique frothy head, beautiful color, and almost salty bitterness brought to heel by over-proofed Jamaican rum spice and the classic citrus-sugar partnership of lime and simple syrup. A spritz of absinthe and the gom jabbar-inspired lime crown allude to the sinister scheming of the Harkonnens. The color, texture, and hint of anise make it perfect for a political dinner party on Arrakis. “He who controls the spice controls the universe.” Born from a mistake where I added 3/4 oz ango to a recipe that called for “3/4 dashes.” Happy little accidents.","- 1 oz Smith & Cross
- ¾ oz angostura bitters
- ¾ oz lime juice
- ¾ oz simple syrup or gomme if you are feeling especially decadent
- Spritz of absinthe
- Lime Crown
","1. Combine ingredients in a cocktail shaker.
2. Shake for 8-10 seconds.
3. Double strain into a coupe.
4. Spritz lightly with absinthe.
5. Lime Crown
","Absinthe, angostura bitters, House Harkonnen, Lime Crown, lime juice, Reader Submitted, simple syrup, smith & Cross, Spritz of absinthe, TC Winstead","Excuse me, bartender. I would like to try a cocktail called the House Harkonnen. Could you please make it for me?"
290,“The Getz and Gilberto” or “The Girl From Ipanema”,https://www.theeducatedbarfly.com/the-getz-and-gilberto-or-the-girl-from-ipanema-undecided-maybe-you-can-help/,"I already emailed this, but then realized this was a feature on the website, so sorry for doubling up: You had a video in which you featured a cocktail based upon a song you were really into (I believe an Elliot Smith tune). That inspired me to create a cocktail based upon a musical preference. I often listen to Getz and Gilberto’s iconic bossanova jazz album featuring “The Girl from Ipanema.” Every time I feel transported to some tropical dinner club where I’m drinking a cocktail that embodies both the boozy cocktails I associate with Jazz and the tropical flavors of tiki. So, I decided to create a cocktail for this album. I first thought about the sazerac as a cocktail I associate with Jazz, but then thought of the flavors I associate emotionally with this music: funky rum, mint, ginger, lime, etc. So, here is “The Getz and Gilberto OR The Girl from Ipanema.” I don’t know which is a better name, so let’s go with both for now, or you can decide which you prefer.","- 1 oz Rum Ron Diplomatico Planas Rum
- 1 oz Jamaican Rum Smith and Cross Jamaican Rum
- 1⁄4 oz Green Chartreuse
- ½ oz Velvet Falernum
- 1⁄4 oz Ginger Syrup i make mine with demerara, but that probably is insignificant in this cocktail
- 3 dashes Angostura Bitters
- Mint Fresh 
- Lime Wedge
- Slice Ginger Fresh 
","1. Served In a Double Old Fashioned Glass with Cracked or Crushed Ice
2. Rinse glass with the Green Chartreuse.
3. Do not dump it out.
4. Combine all Ingredients.
5. Add Ice Until Glass is full enough to garnish with mint
6. Add Garnishes
7. Turn on Getz and Gilberto’s “The Girl from Ipanema”
8. Enjoy
","Reader Submitted, The Getz and Gilberto, The Girl From Ipanema","What cocktail do you have that combines the tropical flavors of tiki with the boozy cocktails associated with jazz, featuring funky rum, mint, ginger, and lime?"
291,Cocktail not named yet,https://www.theeducatedbarfly.com/cocktail-not-named-yet/,"© 2023
The Educated Barfly","- ½ oz lime juice I used fresh
- ½ oz lavender simple syrup I used Collins
- ½ oz green Chartreuse
- 1 oz Skinos Mastiha
- 1 oz New Amsterdam Stratosphere gin ""The Original""
","1. Measure and pour all ingredients into shaker.
2. Add ice to shaker.
3. Shake.
4. Strain into coup or martini glass.
","Cocktail not named yet, Green Chartreuse, lime juice, Reader Submitted","What cocktail would you recommend that highlights the flavors of lime juice, lavender simple syrup, and green Chartreuse, similar to the ""Cocktail not named yet"" with Skinos Mastiha and New Amsterdam Stratosphere gin?"
292,Cup of Bacchus,https://www.theeducatedbarfly.com/cup-of-bacchus/,"While living in Chicago, one of my friends who’s obsessed with the Greco-Roman pantheons commented that the cocktails that I knew how to make lacked any… mythological inspiration. While an Adonis or a Venus may have been satisfactory for some people, he regardless raised his concerns. Thinking about what mythological connotations a cocktail could have, my mind immediately went to the connection between wine and Bacchus. I originally made the Cup of Bacchus with Asti Spumante in a way to offset the dryness of the Bordeaux wine, but I’m not sure if that’s entirely necessary. So, use whatever sparkling white wine seems best. Also, the picture I included has a cherry as a garnish rather than a grape, sorry about that discrepancy. Please voice any recommendations for improvement you have. I’m very proud of this drink, and I’d like to improve upon it if possible. Thanks!","- 2 oz. dry red Bordeaux I first made it using Les Hauts de Lagarde
- ½ oz. lemon juice
- ¼ oz. Luxardo Maraschino liqueur
- 2 dashes orange bitters
- Red Grape
","1. Add all ingredients to a shaker.
2. Shake with ice.
3. Strain into a coupe glass or goblet.
4. Fill with Asti Spumante (or other sparkling white wine of choice).
5. Red Grape
","Cup of Bacchus, dashes orange bitters, dry red Bordeaux, lemon juice, Luxardo Maraschino liqueur, Nathan Scheer, orange bitters, Reader Submitted, Red Grape","What other sparkling white wine options would you recommend to replace Asti Spumante in order to enhance the flavors of the dry red Bordeaux, lemon juice, Luxardo Maraschino liqueur, and orange bitters in the Cup of Bacchus?"
293,Shock the Monkey,https://www.theeducatedbarfly.com/shock-the-monkey/,"© 2023
The Educated Barfly","- 1 oz light rum Plantation 3 Star
- ½ oz aged Jamaican rum Appleton Estate
- 1 oz banana liqueur giffard banane du bresil
- ½ oz Velvet Falernum
- ¾ oz lime juice
- ½ oz simple syrup
","1. Shake.
2. Strain over crushed ice into a rocks glass.
3. Garnish with mint and lime wheel
","Joe Farrell, Reader Submitted, Shock the Monkey","Can you recommend a cocktail that highlights the flavors of light rum, banana liqueur, lime juice, and velvet falernum?"
294,Cranberry Whisper (or Crimson Whisper),https://www.theeducatedbarfly.com/cranberry-whisper-or-crimson-whisper/,"© 2023
The Educated Barfly","- 37 ml gin Plymouth is my choice
- 37 ml 100% cranberry juice unsweetened
- 10 ml elderflower liqueur
","1. Combine ingredients in mixing tin with ice.
2. Shake for less than 10 seconds.
3. Strain into chilled coupe or Nick and Nora glass
4. No garnish.
5. If care is taken to leave any cranberry juice sediment undisturbed, the drink will be perfectly translucent once air bubbles have divested
","cranberry juice, Cranberry Whisper (or Crimson Whisper), elderflower Liqueur, Gin, Reader Submitted",Could you recommend a cocktail that features gin as the base spirit and incorporates cranberry juice and elderflower liqueur for a balanced and refreshing flavor profile?
295,Doctor’s Orders (Put the Lime in the Coconut),https://www.theeducatedbarfly.com/doctors-orders-put-the-lime-in-the-coconut/,"I wanted to try something with coconut creme but not the usual rums and juices. I like green chartreuse and thought I’d see how well it pairs with creme de cacao as well. Added some lime juice to up the acidity and mix with the coconut and gin as the base spirit. It kind of reminds me of a White Lady, but lots more flavors.","- 2 oz Gin
- ¾ oz Lime Juice
- ½ oz Creme of Coconut
- 1⁄4 oz Green Chartreuse
- 1⁄4 oz Creme de Cacao.
- recommendations welcome I like the simple appearance.
","1. Add Ingredients to shaker.
2. Shake.
3. Strain.
4. Drink!
","creme de cacao, Creme of Coconut, Doctor’s Orders (Put the Lime in the Coconut), Gin, Green Chartreuse, lime juice, Matt Mason, Reader Submitted","Excuse me, bartender. Can I order a Doctor's Orders (Put the Lime in the Coconut) please?"
296,The Black Adder,https://www.theeducatedbarfly.com/the-black-adder/,"© 2023
The Educated Barfly","- 5 dashes Angostura Bitters
- ¾ oz simple syrup
- ¾ oz cherry liqeur
- 1⁄4 sambuca luxardo passione nera
- 1 oz Myer’s dark Jamaican rum Planter’s Punch
","1. Build in a rocks glass with a nice cube of ice.
2. Garnish with an orange twist.
","Reader Submitted, The Black Adder, Tristan Crane","Could you recommend a cocktail that combines the flavors of Angostura Bitters, cherry liqueur, sambuca, and dark Jamaican rum, similar to The Black Adder?"
297,The Final Testament,https://www.theeducatedbarfly.com/the-final-testament/,The Last Testament is a lovely cocktail,"- ¾ oz Applejack Laird's Bottled in Bond Straight Apple Brandy
- ¾ oz Yellow Chartreuse
- ¾ oz Maraschino Liqueur Luxardo 
- ¾ oz Lemon Juice
","1. Shake with ice.
2. Strain into a coupe.
3. No garnish.
","applejack, lemon juice, maraschino liqueur, Reader Submitted, The Final Testament, yellow chartreuse","Excuse me, bartender. Can I please have The Final Testament cocktail?"
298,Reggae Ruby,https://www.theeducatedbarfly.com/reggae-ruby/,"© 2023
The Educated Barfly","- 1 oz Jamaican rum Smith & Cross
- 1 oz Campari
- 3/4 oz Lime juice
- 1/2 oz Simple syrup
- 5 Cherry Bing or Rainier
","1. Muddle cherries well at the bottom of shaker.
2. Add other ingredients.
3. Shake well with ice.
4. Strain over large ice cube in a double old fashioned glass.
5. Optional garnish with 3 skewered cherries.
","Reader Submitted, Reggae Ruby","Excuse me, bartender. I heard about a cocktail called the Reggae Ruby. Could you please tell me how it's made?"
299,The Gateway,https://www.theeducatedbarfly.com/the-gateway/,"© 2023
The Educated Barfly","- ½ oz Campari
- 1 oz vodka
- Crushed ice
- Sparkling Ice Pink Grapefruit Soda
","1. Pour Campari, Vodka into rocks glass
2. Fill with crushed ice
3. Sparkling Ice Pink Grapefruit Soda
","Brian Olson, Campari, Crushed ice, Reader Submitted, Sparkling Ice Pink Grapefruit Soda, The Gateway, Vodka","Excuse me, bartender. Can I have ""The Gateway"" cocktail, please?"
300,Acid-Adjusted Pineapple Daiquiri,https://www.theeducatedbarfly.com/acid-adjusted-pineapple-daiquiri/,"© 2023
The Educated Barfly","- ½ oz Demerara Syrup
- 1 oz Pineapple Juice Acid adjusted
- 1 ½ oz Don Q gold
- ½ oz Plantation OFTD
- Pineapple Wedge
","1. Add ingredients to shaker.
2. Add one large ice cube and one cracked cube.
3. Shake.
4. Strain into a chilled Nick & Nora glass.
5. Pineapple Wedge
","Acid-Adjusted Pineapple Daiquiri, demerara syrup, Don Q gold, pineapple juice, Pineapple Wedge, Plantation OFTD, Reader Submitted, Sean Jameson","Could you make me a cocktail that combines the sweetness of pineapple juice, the richness of Demerara syrup, and the boldness of Don Q gold and Plantation OFTD rum?"
301,Ferrari Sour,https://www.theeducatedbarfly.com/ferrari-sour/,An attempt to make a broadly likeable sour using both fernet and Campari without hiding either. I think it turned out really well!,"- 1 oz Rye Whiskey
- 3/4 oz Campari
- 3/4 oz Fernet Branca
- 3/4 oz Grapefruit juice
- 1/2 oz Lemon juice
- 1/2 oz Maple syrup
- Egg White
- Grapefruit
- Peychaud’s Bitters
","1. Put ingredients in shaker
2. Shake
3. Strain
4. Garnish with grapefruit wedge/corner and a few dashes of peychaud’s bitters
","Campari, egg white, fernet branca, Ferrari Sour, grapefruit, grapefruit juice, lemon juice, maple syrup, Patrick McArthur, Peychaud’s Bitters, rye whiskey","Can you make a cocktail similar to the Ferrari Sour that combines the flavors of Campari and Fernet Branca without overpowering either, using shaking and straining techniques?"
302,Parasol,https://www.theeducatedbarfly.com/parasol/,From NYC bartender and Consultant Shannon Mustipher comes this friggin’ delicious Banana Pineapple number.,"- 2 oz White Rum
- 3/4 oz Lime Juice
- 3/4 oz Banana Liqueur
- 1/2 oz Pineapple Juice
- Grated Nutmeg
","1. Add all ingredients to a tin and shake 8-10 seconds. 
2. Strain into a chilled coupe or footed rocks glass.
3. Enjoy!
","banana liqueur, bananas, lime juice, new york city, nutmeg, nyc, Parasol, pineapple, pineapple juice, Shannon Mustipher, white rum","What cocktail do you have that combines the flavors of banana liqueur, pineapple, and lime juice, similar to the Parasol cocktail by Shannon Mustipher?"
303,Stirred Daiquiri,https://www.theeducatedbarfly.com/stirred-daiquiri/,Created by LA Bartender Briggs Brown.,"- 1 oz Low-Fi Sweet Vermouth
- 1 oz Plymouth Gin
- 1 oz Lime Cordial
","1. Add all ingredients.
2. Stir.
3. Enjoy!
4. Made by mixing lime juice 1:1 with sugar.
","Briggs Brown, LA, lime cordial, los angeles, Low-Fi Sweet Vermouth, plymouth gin, Stirred Daiquiri","Can you make a cocktail with lime cordial, sweet vermouth, and gin that is stirred and has a similar flavor profile to the Stirred Daiquiri created by LA bartender Briggs Brown?"
304,Pineapple Strawberry Daiquiri,https://www.theeducatedbarfly.com/pineapple-strawberry-daiquiri/,,"- 1 1/2 oz Saison Pale Rum
- 1/2 oz Stiggins fancy
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- 1  Strawberry
","1. Muddle strawberry in a tin with simple syrup. 
2. Add remaining ingredients and shake 8-10 seconds then strain into a chilled coupe. 
3. Garnish with a half strawberry or nothing at all.
","lime juice, Pineapple Strawberry Daiquiri, Saison Pale Rum, simple syrup, Stiggins fancy, strawberry","Bartender, can you please make me a Pineapple Strawberry Daiquiri?"
305,Christmas in Manhattan,https://www.theeducatedbarfly.com/christmas-in-manhattan/,"© 2023
The Educated Barfly","- 1 oz bourbon
- 1 oz spiced rum
- .5 oz sweet vermouth
- .5 oz simple syrup or less to taste
- 5 dash chocolate bitters
- Optional egg white
","1. Without egg, build and serve like a Manhattan.
2. With egg, build like a sour.
3. Dot 3 drops of the bitters on top of the foam.
4. Serve in a chilled coupe
",,"Could you recommend a cocktail with a strong bourbon base and hints of spiced rum, sweet vermouth, chocolate bitters, and optional egg white, similar to the Christmas in Manhattan?"
306,Pink Panther,https://www.theeducatedbarfly.com/pink-panther/,"© 2023
The Educated Barfly","- 2 oz Gin
- 1/2 oz Green Chartreuse
- 3/4 oz Lime
- 1/4 oz Simple Syrup
- 1 dash Peychauds
","1. Combine all ingredients with ice.
2. Shake.
3. Double strain into Nick and Nora glass.
","Christian Collett, Pink Panther, Reader Submitted","What cocktail can you make that combines gin, green chartreuse, lime, simple syrup, and Peychauds, and is shaken and double strained into a Nick and Nora glass?"
307,Cinamon plum smash,https://www.theeducatedbarfly.com/cinamon-plum-smash/,"Dear Leandro, my brother and I have been following your Cocktail Channel with great enthusiasm for a very long time! After we tried almost all of your drinks (and to our shame, drank them too!), we started to develop our own recipes. Our last cocktail project, which we believe has been very successful, is a regional cocktail where the main ingredients come from our home state Schleswig-Holstein (the northernmost German state). The alcoholic basis of the cocktail is the so-called “Korn”, a German spirit made from wheat. Fresh “Zwetschgen”, a North German plum variety, is used for the taste. Together with orange and cinnamon notes, an extraordinary and extremely balanced combination is created. If we have aroused your interest, here is the recipe! We are looking forward to your feedback and your view on our “local hero“!Best regards from GermanyOle & Thilo","- 5 cl Oldesloer Korn
- 2 cl Triple Sec
- 3 cl fresh orange juice
- 2 cl fresh lemon juice
- 2 cl cinnamon syrup
- 3 Fresh juicy plums plums
","1. 1. Crush plums in a shaker,
2. 2. Fill in the ingredients on top,
3. 3. Shake it on ice,
4. 4. strain it,
5. 5. serve on crushed ice in a tumbler, 6. garnish with plum, orange spiral and cinnamon stick
6. 7. enjoy the Drink!
",,"Can you create a cocktail that combines the flavors of fresh plums, cinnamon, and orange, similar to the Cinamon Plum Smash?"
308,Daniel Reyes,https://www.theeducatedbarfly.com/daniel-reyes/,"I’m a home bartender in Honduras. With the recent Hurricane Eta and Iota creating chaos here, I was reminded of the hurricane Mitch crisis back in 1998. I marked the history of the region, including Nicaragua, that’s why I chose Flor de Caña as one of the ingredients, and a coffee liqueur made in Honduras called timoshenko (though any other coffee liqueur is fine).Cheers","- 1/2 oz fresh lime juice
- 1/2 oz ginger syrup
- 1/4 oz orgeat
- 1.5 oz Column Stilled Aged Rum flor de caña if possible
- Stout Dark Beer
- Dried Lime Wheel
","1. Mix every ingredient except the beer in a highball glass.
2. Add cracked or cubed ice
3. Top with stout beer
4. Add a straw
5. Garnish with a dried lime wheel
",,"What techniques can you use to incorporate the flavors of fresh lime, ginger syrup, orgeat, aged rum, and stout beer in a cocktail?"
309,Bold and Gold,https://www.theeducatedbarfly.com/bold-and-gold/,"This was one of those drinks that just leaps into your head in a flash of inspiration. It’s a paper plane riff based around pairing my local whisky distilleries 12y.o. and an ingredient I discovered at my sorely missed bar NOLA Dundee where I worked. The whisky used is Fettercairn 12, it’s a super light and tropical highland whisky. I grew up around 3 miles from the distillery. I don’t use single malts lightly in cocktails as one, they’re expensive, and two I have a great deal of respect for them so it’s really got to be banging. I was talking to fettercairns ambassador and he mentioned that the whisky paired wonderfully with peach water and that’s when inspiration hit to make a run rinquinquin and fettercairn paper plane! Rinquinquin is an awesome French aperitif made with peaches and a white wine base. Super autumnal and mega versatile. ","- 25 ml fettercairn 12y.o. chivas would work as sub
- 25 ml rinquinquin
- 25 ml Amaro Montenegro
- 20 ml lemon juice
","1. Shake and fine strain into coupe.
",,"Excuse me, bartender. Could I please have a Bold and Gold cocktail?"
310,The Downtown Dolce,https://www.theeducatedbarfly.com/the-downtown-dolce/,"I invented/first made this drink on October 16, 2020. I am not a professional bartender, but mixology and cocktail-making have recently become a quarantine hobby of mine. This is the first true, planned, and measured cocktail that I’ve created (as opposed to just an improvised mashup of ingredients). It ended up tasting amazing, and it’s great for anyone who’s a fan of cinnamon dolce drinks from coffee shops. It takes pages from the Espresso Martini and the Cafe Con Leche Flip recipe I recently saw on your channel. This was born out of a desire to figure out what else I can do with the Fireball and Kahlua I had previously bought for other recipes. The name is meant to invoke the feel of enjoying your favorite coffee shop drink, but as part of an evening at your favorite bar.","- 1.5 oz. 45mL Cinnamon whisky  (ex: Fireball)
- 0.5 oz. 15mL Coffee liqueur  (ex: Kahlua)
- 1 oz. 30mL espresso
- 1 oz. 30mL heavy cream
- 0.25 oz. 22.5mL simple syrup
","1. Shake all ingredients with ice.
2. Double-strain into a chilled martini or coupe glass.
3. Garnish however you'd like; maybe with three coffee beans and a light dusting of cinnamon.
",,"What techniques can you recommend to recreate a cocktail with cinnamon whisky, coffee liqueur, espresso, heavy cream, and simple syrup, similar to ""The Downtown Dolce""?"
311,Blades of Chaos,https://www.theeducatedbarfly.com/blades-of-chaos/,"Inspired by the iconic franchise series God Of War is the Blades of Chaos. I created this cocktail to embody the fire of the blades and still provide a cool refreshing drink for hot summer days. It wasn’t created in a bar with centuries of history, but this cocktail is as craft and elegant as the very blades it is inspired by.","- 1 oz Grenadine
- 1 oz Apple Cider
- 1 oz Ginger Beer
- 1 oz GoldShläger
- 3/4 oz Cruzan Blackstrap Rum or comparable
- Flame an orange peel and garnish with an orange wheel.
","1. Mix each ingredient, even the ginger beer, into a shaker. Shake 8-10 times and pour over ice. Flame and garnish with a orange.
",,"Excuse me, bartender. I would like to order a cocktail called ""Blades of Chaos."" Can you please make it for me?"
312,Berlin Sunset,https://www.theeducatedbarfly.com/berlin-sunset/,"Hot warm corona summer days…no bars opened so I experimented around a lot with different cocktails and also seasonal fruits. At first, I tried the prickly pear with a classic margarita template but then also added the cinnamon.This was definitely the total match winner when watching the sun going down the roof tops in berlin, while sitting with the closest on the balcony. I never actually thought about naming that.. maybe this kind of cocktail even exists already.But i think what fits perfectly as a name would be the “Berlin Sunset”","- 30 ml Blanco Tequila
- 15 ml Cointreau
- 20 ml Lime Juice
- 10 ml Brown Sugar Syrup depending how sweet your fruit and the cinnamon liqueur is
- 30 ml Cinnamon liqueur
- 1 Prickly Pear maybe adjustments to sugar and lime needed by the available fruit
- pinch salt
","1. Cut the prickly pear in half and spoon it into the shaker (attention: these fruits have some nasty little thorns)
2. Put everything into a shaker and give it a good muddling.
3. Shake it with ice and double strain into some kind of coupe glass
4. - the prickly pears i have access to in germany are more sour than sweet and are usual orangeish, the red ones i actually saw only a few couple of times... maybe some more lime juice is needed, but the cocktail should def. not be considered as a sour
5. - also the cinnamon liqueur i have access to is a very certain one, thats done by a small company in berlin, this may affect the recreation (maybe they do also a shipping to your country https://www.psmberlin.de/)
","Berlin Sunset, blanco tequila, Brown Sugar Syrup, Cinnamon liqueur, cointreau, lime juice, Nils Rösel, Prickly Pear, salt","What cocktail do you recommend that combines the flavors of blanco tequila, Cointreau, lime juice, brown sugar syrup, cinnamon liqueur, prickly pear, and a pinch of salt to create a unique and refreshing drink?"
313,Golden Gloves,https://www.theeducatedbarfly.com/golden-gloves/,"I created this drink as a specialty cocktail for my wedding and it was a hit. It started as a mix between a Gold Rush and a Whiskey Smash (hence the name), but ended up being a bit of a Penicillin variation with the ginger syrup. Cheers!","- 2 oz Bourbon I used WT 101, but I think most bourbon would work
- 3/4 oz lemon juice
- 1/2 oz ginger syrup Scant 
- 1/2 oz honey syrup Scant 
- ~10 mint leaves
","1. Shake all ingredients except the mint
2. Double strain into double rocks glass and add mint
3. Light muddle
4. Add a big rock (I think per level ice would work as well)
5. Mint sprig and ginger candy garnish (but garnish how you like)
","Bourbon, David Boyle, ginger syrup, Golden Gloves, honey syrup, lemon juice, mint leaves","Could you recommend a cocktail that combines the flavors of a Gold Rush and a Whiskey Smash, perhaps with a hint of ginger syrup, that I could shake and double strain into a double rocks glass with a garnish of mint and ginger candy?"
314,Stone Cold Fox,https://www.theeducatedbarfly.com/stone-cold-fox/,This is a very nice little New York Sour riff Created by Alyssa Heidt around 2015.,"- 2 oz Pisco Acholado
- 1/2 oz Amaro Montenegro
- 3/4 oz Lime Juice
- 3/4 oz Orgeat
- 1/2 oz Pineapple Juice
- Club Soda
-  Red Wine Float Light Bodied
- Orange Wheel
- Mint Bouquet big
","1. Whip shake.
2. Strain over cubed Ice.
3. Float red wine.
4. Enjoy!
","2010s, 2015, Alyssa Heidt, Amaro Montenegro, Club Soda, lime juice, Mint bouquet, new york sour, new york sour riff, Orange Wheel, orgeat, pineapple juice, Pisco Acholado, Stone Cold Fox","Excuse me, bartender. Can I please have a Stone Cold Fox cocktail?"
315,Tiger Balm,https://www.theeducatedbarfly.com/tiger-balm/,A daiquiri Variation from Kirk Estopinal around 2008 one of the bartenders behind the fantastic book Rogue Cocktails which was then reborn as Beta Cocktails.,"- 2 oz Brugal Añejo Rum
- 3/4 oz Simple syrup
- 3/4 oz Lime Juice
- 1/8 oz Branca Menta 3/4 tsp
- 6 drops Angostura Bitters 1 dash
- Mint Leaf
","1. Add all ingredients to a tin.
2. Shake.
3. Strain into a coupe.
4. Garnish with a mint leaf.
5. Enjoy!
","2000s, 2008, angostura bitters, Beta Cocktails, Branca Menta, Brugal Añejo Rum, Kirk Estopinal, lime juice, Mint Leaf, Rogue Cocktails, simple syrup, Tiger Balm","Can you recommend a cocktail that incorporates the flavors of rum, lime, mint, and a hint of menthol?"
316,Amaros And Sorrows,https://www.theeducatedbarfly.com/amaros-and-sorrows/,Created by bartender Jim Troutman around 2016,"- 1 1/2 oz Sfumato Rabarbaro
- 1/2 oz Luxardo Bitter Rosso
- 1/2 oz Lemon Juice
- 1 oz Pineapple
- 3/4 oz Simple Syrup
- 1 Egg White
- Lemon Peel
","1. Dry shake/wet shake.
2. Pour over rocks in a rocks glass.
3. Enjoy!
","2010s, 2016, Amaros And Sorrows, egg white, Jim Troutman, lemon juice, Lemon Peel, Lemon Zest, Luxardo Bitter Rosso, pineapple, Sfumato Rabarbaro, simple syrup","Excuse me, bartender. I would like to try a cocktail called ""Amaros And Sorrows"". Could you please make it for me?"
317,Juliet & Romeo,https://www.theeducatedbarfly.com/juliet-romeo/,"Created by Toby Maloney for his bar The Violet Hour in Chicago, IL","- 2 oz Beefeater Gin
- 3/4 oz Lime Juice
- 3/4 oz Simple Syrup
- 3 pcs Cucumber Slices
- 8-10 pcs Mint Leaves
- Pinch Salt
- 5 drops Rosewater
- 5 drops Angostura Bitters
- Mint Leaf small
","1. Add all ingredients to tin and muddle lightly. 
2. Add ice and shake 8-10 seconds. 
3. Place mint leaf garnish on cocktail so it floats.
4. Add one drop of Rosewater onto the Leaf. 
5. Add 3 drops angostura on top of the cocktail close to the mint.
6. Enjoy!
","angostura bitters, Beefeater Gin, chicago, Cucumber Slices, lime juice, mint leaves, rosewater, salt, simple syrup, Toby Maloney, violet hour","Could you please recreate or recommend a cocktail similar to the ""Juliet & Romeo"" that was created by Toby Maloney for his bar The Violet Hour in Chicago, IL and features Beefeater Gin as the base spirit?"
318,You’re a Fine Girl,https://www.theeducatedbarfly.com/youre-a-fine-girl/,"© 2023
The Educated Barfly","- 1 ½ oz Red Wine anything dry and fruity
- ¾ oz Brandy
- ¾ oz Rye Whiskey the higher the proof, the better
- 1 oz Pineapple Juice
- ½ oz Lemon Juice
- ½ oz Orange Juice
- ¼ oz Falernum
- ¼ oz Orgeat
- ¼ oz Maple Syrup grade A, dark and robust
- 3  dashes Angostura bitters
- Grated nutmeg lemon wheel, and pineapple fronds
","1. Whip shake ingredients with pebble/crushed ice.
2. Dump into snifter.
3. Fill with pebble/crushed ice.
4. Pineapple fronds
5. Lemon wheel
6. Grated nutmeg
","angostura bitters, Brandy, falernum, Jordan Field, lemon juice, Lemon wheel, maple syrup, orange juice, orgeat, Pineapple Fronds, pineapple juice, Reader Submitted, red wine, rye whiskey, You’re a Fine Girl","Excuse me, bartender. Could I please have a ""You're a Fine Girl"" cocktail?"
319,Fassionola Daiquiri,https://www.theeducatedbarfly.com/fassionola-daiquiri/,Recommended Bar Tools:,"- 1 3/4 oz White Jamaican Rum
- 1/4 oz Aperol
- 1 oz Lime Juice
- 3/4 oz Fassionola Syrup
","1. Shake
2. Strain
3. Coupe
4. Enjoy!
","aperol, Barfly Fassionola, Fassionola, Fassionola Daiquiri, Fassionola Syrup, lime juice, White Jamaican Rum",Could you recommend a cocktail that combines the tropical flavors of Fassionola syrup with the citrus notes of lime juice and a hint of bitterness from Aperol?
320,The Strong Armed Ape,https://www.theeducatedbarfly.com/the-strong-armed-ape/,Recommended Bar Tools:,"- 1 1/2 tbsp Rum Plantation 5 yr – substitute for other aged rums
- 1 tbsp Jamaican Rum Smith and Cross
- 1/2 oz Banana Syrup homemade 
- 2 tbsp Angostura Bitters
- 1 dash Peach Bitters
","1. Combine all ingredients.
2. Stir until chilled.
3. Strain into a double rocks glass over one large ice cube
4. Expressed lemon peel.
","angostura bitters, Banana syrup, Mitchell Berry, Peach Bitters, Plantation 5 year, smith & Cross, The Strong Armed Ape","Could you recommend a cocktail that incorporates the flavors of angostura bitters, banana syrup, and peach bitters, similar to The Strong Armed Ape?"
321,American Trilogy,https://www.theeducatedbarfly.com/american-trilogy/,"Although Sam Ross gets the rockstar treatment in the cocktail world, we shouldn’t forget Michael McIlroy who is his partner in Attaboy and has many modern classics to his name not the least of which is the beauty created with Richard Boccato on a slow shift at Milk & Honey. I like to say it represents the history of American distillation in a glass utilizing America’s First native spirit and America’s first whiskey.","- 1 oz Rye Whiskey Bonded 
- 1 oz Applejack Bonded 
- 2-4 dashes Freegans Orange Bitters
- 1 Brown Sugar Cube
- Splash Club Soda
- Orange Twist
","1. Add sugar cube into a DOF and soak with bitters.
2. Add splash of soda and muddle until grainy. 
3. Add spirits and a big rock of ice. 
4. Stir for 30-40 seconds and zest twist over glass.
5. Add to glass.
6. Enjoy!
","American Trilogy, Bonded Applejack, Bonded Rye Whiskey, brown sugar, Brown Sugar Cube, Club Soda, Feegans Orange Bitters , orange bitters, orange twist, Splash Club Soda","Could you make a cocktail that combines the flavors of bonded rye whiskey, bonded applejack, brown sugar, and orange bitters, similar to the American Trilogy?"
